FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION CONDUCTA,CANTIDAD
02/10/2003 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 261. USURPACION DE TIERRAS,2
06/03/2003 12:00:00 AM,25,CUNDINAMARCA,25599,APULO,ARTICULO 261. USURPACION DE TIERRAS,2
07/13/2003 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 261. USURPACION DE TIERRAS,2
08/19/2003 12:00:00 AM,25,CUNDINAMARCA,25885,YACOPI,ARTICULO 261. USURPACION DE TIERRAS,2
04/28/2005 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/22/2005 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/23/2006 12:00:00 AM,25,CUNDINAMARCA,25183,CHOCONTA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/23/2006 12:00:00 AM,25,CUNDINAMARCA,25718,SASAIMA,ARTICULO 261. USURPACION DE TIERRAS,1
03/01/2006 12:00:00 AM,25,CUNDINAMARCA,25488,NILO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/04/2006 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
03/22/2006 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
05/11/2006 12:00:00 AM,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 261. USURPACION DE TIERRAS,1
05/23/2006 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
09/15/2006 12:00:00 AM,25,CUNDINAMARCA,25438,MEDINA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/22/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/02/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/07/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/10/2006 12:00:00 AM,25,CUNDINAMARCA,25592,QUEBRADANEGRA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/11/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/13/2006 12:00:00 AM,25,CUNDINAMARCA,25181,CHOACHI,ARTICULO 261. USURPACION DE TIERRAS,1
01/29/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/14/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/06/2007 12:00:00 AM,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 261. USURPACION DE TIERRAS,1
05/15/2007 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/09/2007 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/22/2007 12:00:00 AM,25,CUNDINAMARCA,25377,LA CALERA,ARTICULO 261. USURPACION DE TIERRAS,1
09/12/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/17/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/12/2007 12:00:00 AM,25,CUNDINAMARCA,25183,CHOCONTA,ARTICULO 261. USURPACION DE TIERRAS,1
01/20/2008 12:00:00 AM,25,CUNDINAMARCA,25286,FUNZA,ARTICULO 261. USURPACION DE TIERRAS,1
03/30/2008 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/23/2008 12:00:00 AM,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/06/2009 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/30/2009 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/21/2013 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/02/2014 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/10/2015 12:00:00 AM,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/26/2015 12:00:00 AM,25,CUNDINAMARCA,25438,MEDINA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/29/2015 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/03/2015 12:00:00 AM,25,CUNDINAMARCA,25126,CAJICA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/09/2015 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/15/2015 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/28/2015 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/10/2015 12:00:00 AM,25,CUNDINAMARCA,25473,MOSQUERA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/01/2016 12:00:00 AM,25,CUNDINAMARCA,25885,YACOPI,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/02/2016 12:00:00 AM,25,CUNDINAMARCA,25040,ANOLAIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/05/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/06/2016 12:00:00 AM,25,CUNDINAMARCA,25286,FUNZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/07/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/08/2016 12:00:00 AM,25,CUNDINAMARCA,25745,SIMIJACA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/13/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/17/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/19/2016 12:00:00 AM,25,CUNDINAMARCA,25001,AGUA DE DIOS,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/23/2016 12:00:00 AM,25,CUNDINAMARCA,25154,CARMEN DE CARUPA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/26/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/29/2016 12:00:00 AM,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/01/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/03/2016 12:00:00 AM,25,CUNDINAMARCA,25288,FUQUENE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/04/2016 12:00:00 AM,25,CUNDINAMARCA,25488,NILO,ARTICULO 261. USURPACION DE TIERRAS,1
02/10/2016 12:00:00 AM,25,CUNDINAMARCA,25200,COGUA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/10/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/12/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/12/2016 12:00:00 AM,25,CUNDINAMARCA,25377,LA CALERA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/12/2016 12:00:00 AM,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25269,FACATATIVA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25386,LA MESA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/15/2016 12:00:00 AM,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/18/2016 12:00:00 AM,25,CUNDINAMARCA,25899,ZIPAQUIRA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/22/2016 12:00:00 AM,25,CUNDINAMARCA,25402,LA VEGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/24/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/01/2016 12:00:00 AM,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/01/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/03/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/03/2016 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
03/07/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/11/2016 12:00:00 AM,25,CUNDINAMARCA,25386,LA MESA,ARTICULO 261. USURPACION DE TIERRAS,1
03/12/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/13/2016 12:00:00 AM,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 261. USURPACION DE TIERRAS,1
03/16/2016 12:00:00 AM,25,CUNDINAMARCA,25430,MADRID,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/22/2016 12:00:00 AM,25,CUNDINAMARCA,25269,FACATATIVA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/23/2016 12:00:00 AM,25,CUNDINAMARCA,25398,LA PEÑA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/30/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/13/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/14/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/15/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/16/2016 12:00:00 AM,25,CUNDINAMARCA,25513,PACHO,ARTICULO 261. USURPACION DE TIERRAS,1
04/17/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/22/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/22/2016 12:00:00 AM,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 261. USURPACION DE TIERRAS,1
04/23/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/25/2016 12:00:00 AM,25,CUNDINAMARCA,25001,AGUA DE DIOS,ARTICULO 261. USURPACION DE TIERRAS,1
04/27/2016 12:00:00 AM,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/28/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/03/2016 12:00:00 AM,25,CUNDINAMARCA,25339,GUTIERREZ,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/06/2016 12:00:00 AM,25,CUNDINAMARCA,25175,CHIA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/07/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/07/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/07/2016 12:00:00 AM,25,CUNDINAMARCA,25805,TIBACUY,ARTICULO 261. USURPACION DE TIERRAS,1
05/08/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/12/2016 12:00:00 AM,25,CUNDINAMARCA,25817,TOCANCIPA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/16/2016 12:00:00 AM,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/18/2016 12:00:00 AM,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/23/2016 12:00:00 AM,25,CUNDINAMARCA,25398,LA PEÑA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/28/2016 12:00:00 AM,25,CUNDINAMARCA,25649,SAN BERNARDO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/30/2016 12:00:00 AM,25,CUNDINAMARCA,25181,CHOACHI,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/31/2016 12:00:00 AM,25,CUNDINAMARCA,25288,FUQUENE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
05/31/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/01/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/01/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/01/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/02/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/04/2016 12:00:00 AM,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/08/2016 12:00:00 AM,25,CUNDINAMARCA,25326,GUATAVITA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/10/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/13/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/13/2016 12:00:00 AM,25,CUNDINAMARCA,25885,YACOPI,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/16/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/17/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/18/2016 12:00:00 AM,25,CUNDINAMARCA,25793,TAUSA,ARTICULO 261. USURPACION DE TIERRAS,1
06/19/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/22/2016 12:00:00 AM,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 261. USURPACION DE TIERRAS,1
06/24/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
06/26/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/01/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/01/2016 12:00:00 AM,25,CUNDINAMARCA,25873,VILLAPINZON,ARTICULO 261. USURPACION DE TIERRAS,1
07/04/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/10/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/11/2016 12:00:00 AM,25,CUNDINAMARCA,25245,EL COLEGIO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/13/2016 12:00:00 AM,25,CUNDINAMARCA,25286,FUNZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/16/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/17/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 261. USURPACION DE TIERRAS,1
08/02/2016 12:00:00 AM,25,CUNDINAMARCA,25175,CHIA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/03/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 261. USURPACION DE TIERRAS,1
08/03/2016 12:00:00 AM,25,CUNDINAMARCA,25815,TOCAIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/08/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/16/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 261. USURPACION DE TIERRAS,1
08/20/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/20/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/24/2016 12:00:00 AM,25,CUNDINAMARCA,25297,GACHETA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/25/2016 12:00:00 AM,25,CUNDINAMARCA,25899,ZIPAQUIRA,ARTICULO 261. USURPACION DE TIERRAS,1
09/06/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/13/2016 12:00:00 AM,25,CUNDINAMARCA,25758,SOPO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/17/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 261. USURPACION DE TIERRAS,1
09/18/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/21/2016 12:00:00 AM,25,CUNDINAMARCA,25599,APULO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/22/2016 12:00:00 AM,25,CUNDINAMARCA,25175,CHIA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/29/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/04/2016 12:00:00 AM,25,CUNDINAMARCA,25530,PARATEBUENO,ARTICULO 261. USURPACION DE TIERRAS,1
10/13/2016 12:00:00 AM,25,CUNDINAMARCA,25535,PASCA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/24/2016 12:00:00 AM,25,CUNDINAMARCA,25898,ZIPACON,ARTICULO 261. USURPACION DE TIERRAS,1
10/27/2016 12:00:00 AM,25,CUNDINAMARCA,25168,CHAGUANI,ARTICULO 261. USURPACION DE TIERRAS,1
11/01/2016 12:00:00 AM,25,CUNDINAMARCA,25743,SILVANIA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/05/2016 12:00:00 AM,25,CUNDINAMARCA,25019,ALBAN,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/10/2016 12:00:00 AM,25,CUNDINAMARCA,25815,TOCAIMA,ARTICULO 261. USURPACION DE TIERRAS,1
11/11/2016 12:00:00 AM,25,CUNDINAMARCA,25743,SILVANIA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/15/2016 12:00:00 AM,25,CUNDINAMARCA,25740,SIBATE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/19/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/21/2016 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 261. USURPACION DE TIERRAS,1
11/21/2016 12:00:00 AM,25,CUNDINAMARCA,25817,TOCANCIPA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/24/2016 12:00:00 AM,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/25/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/26/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/29/2016 12:00:00 AM,25,CUNDINAMARCA,25245,EL COLEGIO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/30/2016 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/01/2016 12:00:00 AM,25,CUNDINAMARCA,25040,ANOLAIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/01/2016 12:00:00 AM,25,CUNDINAMARCA,25200,COGUA,ARTICULO 261. USURPACION DE TIERRAS,1
12/01/2016 12:00:00 AM,25,CUNDINAMARCA,25815,TOCAIMA,ARTICULO 261. USURPACION DE TIERRAS,1
12/11/2016 12:00:00 AM,25,CUNDINAMARCA,25386,LA MESA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/13/2016 12:00:00 AM,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/14/2016 12:00:00 AM,25,CUNDINAMARCA,25596,QUIPILE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/18/2016 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/30/2016 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/02/2017 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/06/2017 12:00:00 AM,25,CUNDINAMARCA,25175,CHIA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/08/2017 12:00:00 AM,25,CUNDINAMARCA,25377,LA CALERA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/11/2017 12:00:00 AM,25,CUNDINAMARCA,25612,RICAURTE,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/11/2017 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
01/16/2017 12:00:00 AM,25,CUNDINAMARCA,25718,SASAIMA,ARTICULO 261. USURPACION DE TIERRAS,1
01/16/2017 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
01/18/2017 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/19/2017 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/29/2017 12:00:00 AM,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/31/2017 12:00:00 AM,25,CUNDINAMARCA,25430,MADRID,ARTICULO 261. USURPACION DE TIERRAS,1
